City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kollo,13.3043,2.339,31.24,57,80,3.72,NE,1722885732
83,garissa,-0.4536,39.6401,24.92,53,73,10.24,KE,1722885863
84,chunskiy,56.0815,99.6342,13.78,84,0,1.29,RU,1722885865
85,ayr,55.4627,-4.6339,16.39,100,100,1.03,GB,1722885835
86,bamboo flat,11.7,92.7167,26.05,89,75,2.06,IN,1722885867
87,schmolln,50.9,12.3667,19.0,75,14,0.51,DE,1722885868
88,tiksi,71.6872,128.8694,11.34,76,100,2.56,RU,1722885703
89,klyuchi,52.2667,79.1667,18.06,69,40,2.96,RU,1722885870
90,pico truncado,-46.7949,-67.9573,2.74,96,100,7.52,AR,1722885871
91,ballina,-28.8667,153.5667,16.55,79,100,4.05,AU,1722885872
92,freetown,8.484,-13.2299,25.25,86,98,4.71,SL,1722885873
93,westerland,54.9079,8.3033,18.85,68,12,1.54,DE,1722885874
94,badger,64.8,-147.5333,24.65,51,20,4.12,US,1722885720
95,howrah,22.5892,88.3103,28.0,94,40,1.54,IN,1722885877
96,sitka,57.0531,-135.33,20.94,60,20,0.0,US,1722885878
97,fuxin,42.0156,121.6589,22.26,93,0,1.43,CN,1722885879
98,stanley,54.868,-1.6985,21.82,80,75,2.57,GB,1722885880
99,i-n-salah,27.1935,2.4607,40.06,10,4,5.34,DZ,1722885881
100,mount pleasant,32.7941,-79.8626,25.56,96,75,3.13,US,1722885825
101,skelleftea,64.7507,20.9528,17.2,97,6,1.03,SE,1722885883
102,longyearbyen,78.2186,15.6401,9.91,81,20,6.17,SJ,1722885885
103,cabo san lucas,22.8909,-109.9124,34.61,37,20,5.14,MX,1722885886
104,giyani,-23.3025,30.7187,17.9,73,0,4.61,ZA,1722885887
105,fortuna,40.5982,-124.1573,15.55,95,100,2.57,US,1722885889
106,tolanaro,-25.0319,46.9987,18.04,88,0,0.0,MG,1722885890
107,tazovsky,67.4667,78.7,7.8,70,99,5.96,RU,1722885891
108,cole harbour,44.6724,-63.4751,27.66,74,43,5.66,CA,1722885892
109,nadym,65.5333,72.5167,8.49,68,73,5.57,RU,1722885894
110,ryotsu-minato,38.0833,138.4333,23.32,91,79,2.87,JP,1722885895
111,palmer,42.1584,-72.3287,32.03,53,40,4.12,US,1722885896
112,malvan,16.0667,73.4667,26.34,87,58,4.22,IN,1722885898
113,swakopmund,-22.6833,14.5333,13.32,82,0,1.8,NA,1722885899
114,mucumpiz,8.4167,-71.1333,17.83,89,100,1.22,VE,1722885900
